# This file contains all non-dominated populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	FieldID_1	FieldID_2	FieldID_3	FieldID_4	FieldID_5	FieldID_6	FieldID_7	FieldID_8	FieldID_9	FieldID_10	FieldID_11	FieldID_12	FieldID_13	FieldID_14	FieldID_15	FieldID_16	FieldID_17	FieldID_18	FieldID_19	FieldID_20	FieldID_21	FieldID_22	FieldID_23	FieldID_24	FieldID_25	FieldID_26	FieldID_27	FieldID_28	FieldID_29	FieldID_30	FieldID_31	FieldID_32	FieldID_33	FieldID_34	FieldID_35	FieldID_36	FieldID_37	FieldID_38	FieldID_39	FieldID_40	FieldID_41	FieldID_42	FieldID_43	FieldID_44	FieldID_45	FieldID_46	FieldID_47	FieldID_48	FieldID_49	FieldID_50	FieldID_51	FieldID_52	FieldID_53	FieldID_54	FieldID_55	FieldID_56	FieldID_57	FieldID_58	FieldID_59	FieldID_60	FieldID_61	FieldID_62	FieldID_63	FieldID_64	FieldID_65	FieldID_66	FieldID_67	FieldID_68	FieldID_69	FieldID_70	FieldID_71	FieldID_72	FieldID_73	FieldID_74	FieldID_75	FieldID_76	FieldID_77	FieldID_78	FieldID_79	FieldID_80	FieldID_81	FieldID_82	FieldID_83	FieldID_84	FieldID_85	FieldID_86	FieldID_87	FieldID_88
0	3	9	-2.870579e+001	5.081105e+005	1	9.820693e-002	0	0	0	0	1	0	5	0	6	0	0	1	3	0	1	3	4	3	3	0	5	0	2	1	0	0	0	0	4	0	0	5	0	0	5	0	1	3	1	0	0	1	0	0	0	1	2	0	0	0	0	6	1	0	1	0	1	0	0	6	0	1	0	0	0	1	0	1	1	1	1	5	3	2	4	3	3	4	0	3	0	0	0	1	0	1	0	0	
0	3	10	-1.080285e+001	3.117678e+005	1	7.528921e-002	0	0	0	0	0	3	3	0	6	0	0	1	0	0	0	0	4	0	0	0	5	0	0	0	6	0	0	0	5	4	0	5	0	2	0	3	0	5	1	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	1	0	0	1	1	1	3	5	5	4	3	5	2	1	5	0	0	0	0	0	0	0	0	
0	3	11	-4.081873e+001	7.505443e+005	1	1.175112e-001	0	0	0	0	0	3	5	0	0	0	0	0	4	0	0	0	0	2	5	0	4	0	4	1	0	0	0	0	3	3	0	5	0	4	3	3	0	2	1	0	0	0	0	1	0	1	0	1	0	1	6	6	0	0	0	0	1	6	1	0	6	1	0	1	0	1	0	1	1	0	0	3	0	5	5	2	5	0	0	5	0	0	0	0	1	0	0	0	
0	3	12	-3.344003e+001	6.239109e+005	1	7.848645e-002	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	4	5	3	5	0	2	0	0	1	6	0	6	0	3	0	0	0	1	3	2	3	0	0	0	0	0	1	0	1	0	1	4	0	0	0	6	6	1	0	1	0	1	0	1	6	0	1	0	0	0	0	0	1	1	0	1	5	4	2	5	2	3	4	1	5	0	0	0	1	1	0	1	0	
0	3	13	-2.329452e+001	4.897319e+005	1	1.579717e-001	0	0	0	0	1	3	5	0	6	0	0	1	3	2	0	2	3	5	3	1	4	0	4	0	6	0	0	0	5	0	0	5	1	0	5	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	1	6	0	0	6	1	0	1	0	0	0	0	0	1	1	5	2	3	3	2	4	5	0	0	0	0	0	1	1	0	0	0	
0	3	14	-8.855530e+000	2.704814e+005	1	1.000000e+014	0	0	0	0	0	3	3	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	4	0	5	0	2	0	3	0	5	1	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	1	0	0	1	0	0	3	5	5	4	3	5	2	1	5	0	0	0	0	0	0	0	0	
0	3	15	-3.708832e+001	6.509882e+005	1	8.710018e-002	0	0	0	0	1	0	5	0	6	0	0	1	5	2	0	3	5	5	5	1	2	0	4	0	0	0	0	0	4	0	0	5	0	2	0	3	1	3	1	0	0	1	0	1	0	0	5	0	0	1	0	6	0	0	1	0	0	6	1	0	6	0	0	0	0	1	0	0	1	1	1	3	5	2	3	5	0	3	1	2	0	0	0	0	0	1	1	0	
0	3	16	-4.374474e+001	8.521826e+005	1	2.290424e-002	0	0	0	0	1	5	3	0	6	0	0	0	0	2	1	2	0	0	5	0	2	0	5	0	0	0	6	0	3	0	0	5	1	5	5	2	1	5	0	0	0	1	0	0	0	1	0	1	0	1	6	6	0	0	1	0	0	6	1	6	6	1	0	0	0	0	0	0	0	0	1	0	3	3	2	4	0	4	1	0	0	0	1	0	1	1	0	0	
0	3	17	-2.983531e+001	5.647195e+005	1	5.211057e-002	0	0	0	0	0	5	0	0	0	0	0	1	5	0	1	3	4	0	2	1	3	0	4	1	0	0	0	0	3	3	0	0	1	5	2	5	1	4	0	0	0	0	0	1	0	0	5	0	0	1	0	6	1	0	0	0	1	6	1	0	0	1	0	0	0	0	0	0	1	0	0	5	4	0	2	2	4	2	1	3	0	0	1	1	0	1	0	0	
0	3	18	-4.300150e+001	8.109232e+005	1	4.260077e-002	0	0	0	0	0	3	5	0	0	0	0	0	4	0	0	0	0	2	5	0	4	0	4	1	6	0	6	0	3	3	0	5	0	4	3	3	0	2	1	0	0	0	0	1	0	1	0	1	0	1	6	6	0	0	0	0	1	6	1	0	6	1	0	1	0	1	0	1	1	0	0	3	2	5	5	2	5	3	0	4	0	0	0	0	1	0	0	0	
